customerID,tenure,StreamingTV,StreamingMovies,Streaming Service,Contract,MonthlyCharges,TotalCharges,Churn,Customer Churn
8168-UQWWF,11,Yes,Yes,1,Month-to-month,97.85,1105.4,Yes,1
4080-IIARD,13,Yes,No,1,Month-to-month,76.2,981.45,No,0
3714-NTNFO,49,No,Yes,1,Month-to-month,84.5,3906.7,No,0
5948-UJZLF,2,No,No,0,Month-to-month,49.25,97,No,0
7760-OYPDY,2,Yes,No,1,Month-to-month,80.65,144.15,Yes,1
8012-SOUDQ,43,Yes,No,1,Month-to-month,90.25,3838.75,No,0
9420-LOJKX,15,Yes,Yes,1,Month-to-month,99.1,1426.4,Yes,1
6575-SUVOI,25,Yes,No,1,Month-to-month,69.5,1752.65,No,0
7495-OOKFY,8,No,No,0,Month-to-month,80.65,633.3,Yes,1
1658-BYGOY,18,Yes,Yes,1,Month-to-month,95.45,1752.55,Yes,1
0434-CSFON,47,Yes,Yes,1,Month-to-month,100.5,4707.1,No,0
1215-FIGMP,60,Yes,No,1,Month-to-month,89.9,5450.7,No,0
5698-BQJOH,9,Yes,Yes,1,Month-to-month,94.4,857.25,Yes,1
5122-CYFXA,3,Yes,Yes,1,Month-to-month,75.3,244.1,No,0
7410-OIEDU,10,No,No,0,Month-to-month,79.85,887.35,No,0
2273-QCKXA,1,No,No,0,Month-to-month,49.05,49.05,No,0
5630-AHZIL,3,No,Yes,1,Month-to-month,64.5,177.4,No,0
5590-ZSKRV,8,No,No,0,Month-to-month,54.65,482.25,No,0
0191-ZHSKZ,30,Yes,Yes,1,Month-to-month,74.75,2111.3,No,0
5919-TMRGD,1,Yes,No,1,Month-to-month,79.35,79.35,Yes,1
8108-UXRQN,11,Yes,Yes,1,Month-to-month,50.55,565.35,No,0
9191-MYQKX,7,No,No,0,Month-to-month,75.15,496.9,Yes,1
9919-YLNNG,42,Yes,Yes,1,Month-to-month,103.8,4327.5,No,0
4445-ZJNMU,9,Yes,Yes,1,Month-to-month,99.3,918.75,No,0
3016-KSVCP,29,Yes,No,1,Month-to-month,33.75,1009.25,No,0
4767-HZZHQ,30,No,No,0,Month-to-month,82.05,2570.2,No,0
2424-WVHPL,1,No,No,0,Month-to-month,74.7,74.7,No,0
6067-NGCEU,65,Yes,Yes,1,Month-to-month,111.05,7107,No,0
8637-XJIVR,12,No,No,0,Month-to-month,78.95,927.35,Yes,1
0278-YXOOG,5,No internet service,No internet service,0,Month-to-month,21.05,113.85,Yes,1
4598-XLKNJ,25,Yes,Yes,1,Month-to-month,98.5,2514.5,Yes,1
6380-ARCEH,1,No internet service,No internet service,0,Month-to-month,20.2,20.2,No,0
3679-XASPY,1,No internet service,No internet service,0,Month-to-month,19.45,19.45,No,0
6180-YBIQI,5,No,No,0,Month-to-month,24.3,100.2,No,0
0486-HECZI,55,Yes,No,1,Month-to-month,96.75,5238.9,Yes,1
5712-AHQNN,43,Yes,No,1,Month-to-month,91.65,3954.1,No,0
4846-WHAFZ,37,No,No,0,Month-to-month,76.5,2868.15,Yes,1
3071-VBYPO,3,Yes,No,1,Month-to-month,89.85,248.4,No,0
5299-RULOA,10,Yes,Yes,1,Month-to-month,100.25,1064.65,Yes,1
9445-ZUEQE,27,No,No,0,Month-to-month,85.2,2151.6,No,0
2928-HLDBA,6,No internet service,No internet service,0,Month-to-month,20.7,112.75,No,0
0404-SWRVG,3,No,No,0,Month-to-month,74.4,229.55,Yes,1
6497-TILVL,7,No,No,0,Month-to-month,50.7,350.35,No,0
7219-TLZHO,4,No internet service,No internet service,0,Month-to-month,20.85,62.9,No,0
4412-YLTKF,27,No,No,0,Month-to-month,78.05,2135.5,Yes,1
3930-ZGWVE,1,No internet service,No internet service,0,Month-to-month,19.75,19.75,No,0
2876-GZYZC,13,No,Yes,1,Month-to-month,85.95,1215.65,No,0
6207-WIOLX,25,Yes,Yes,1,Month-to-month,58.6,1502.65,Yes,1
3091-FYHKI,1,No,Yes,1,Month-to-month,35.45,35.45,Yes,1
2372-HWUHI,2,No,No,0,Month-to-month,44.35,81.25,Yes,1
7850-VWJUU,23,No,No,0,Month-to-month,75,1778.5,No,0
0390-DCFDQ,1,No,No,0,Month-to-month,70.45,70.45,Yes,1
4080-OGPJL,8,No,Yes,1,Month-to-month,71.15,563.65,Yes,1
2135-RXIHG,1,No,No,0,Month-to-month,45.65,45.65,Yes,1
3466-BYAVD,15,No,Yes,1,Month-to-month,69.5,1071.4,No,0
3780-YVMFA,8,Yes,Yes,1,Month-to-month,68.55,564.35,No,0
3874-EQOEP,7,Yes,Yes,1,Month-to-month,95,655.5,Yes,1
3077-RSNTJ,6,No internet service,No internet service,0,Month-to-month,19.7,113.5,No,0
6551-GNYDG,14,No,Yes,1,Month-to-month,80.9,1152.8,No,0
9167-APMXZ,22,Yes,No,1,Month-to-month,84.15,1821.95,No,0
8992-VONJD,13,No,No,0,Month-to-month,56,764.55,No,0
0867-MKZVY,20,No,No,0,Month-to-month,82.4,1592.35,Yes,1
4482-EWFMI,2,No,No,0,Month-to-month,69.7,135.2,No,0
3376-BMGFE,4,No,No,0,Month-to-month,70.9,273,Yes,1
3445-HXXGF,58,No,Yes,1,Month-to-month,45.3,2651.2,Yes,1
1159-WFSGR,16,No internet service,No internet service,0,Month-to-month,20.4,321.4,No,0
1875-QIVME,2,Yes,Yes,1,Month-to-month,104.4,242.8,Yes,1
1744-JHKYS,34,No internet service,No internet service,0,Month-to-month,24.7,780.2,No,0
2656-FMOKZ,15,No,No,0,Month-to-month,74.45,1145.7,Yes,1
2070-FNEXE,7,No,No,0,Month-to-month,76.45,503.6,Yes,1
5947-SGKCL,15,Yes,Yes,1,Month-to-month,105.35,1559.25,No,0
6317-YPKDH,1,No,No,0,Month-to-month,29.95,29.95,Yes,1
6582-OIVSP,1,No,No,0,Month-to-month,45.3,45.3,No,0
9367-WXLCH,8,No,Yes,1,Month-to-month,84.5,662.65,Yes,1
1918-ZBFQJ,13,No,No,0,Month-to-month,79.25,1111.65,Yes,1
1024-GUALD,1,No,No,0,Month-to-month,24.8,24.8,Yes,1
4827-USJHP,20,No,No,0,Month-to-month,51.8,1023.85,No,0
8167-GJLRN,3,No,No,0,Month-to-month,30.4,82.15,No,0
8017-UVSZU,40,No,No,0,Month-to-month,56.6,2379.1,No,0
2472-OVKUP,6,No,Yes,1,Month-to-month,91,531,Yes,1
2604-IJPDU,20,Yes,No,1,Month-to-month,96.55,1901.65,No,0
6168-YBYNP,59,Yes,Yes,1,Month-to-month,111.35,6519.75,No,0
3645-DEYGF,1,No internet service,No internet service,0,Month-to-month,20.75,20.75,No,0
8544-GOQSH,14,No,No,0,Month-to-month,80.05,1112.3,No,0
7018-WBJNK,13,Yes,No,1,Month-to-month,78.3,1033.95,No,0
9142-KZXOP,44,No,No,0,Month-to-month,68.85,2958.95,No,0
1285-OKIPP,1,No,Yes,1,Month-to-month,79.9,79.9,Yes,1
7825-ECJRF,19,Yes,Yes,1,Month-to-month,106.6,1934.45,Yes,1
7841-TZDMQ,2,No,No,0,Month-to-month,46,84.5,Yes,1
4195-NZGTA,1,No,No,0,Month-to-month,25.25,25.25,No,0
2504-DSHIH,23,No,Yes,1,Month-to-month,86.8,1975.85,No,0
0699-NDKJM,57,Yes,Yes,1,Month-to-month,58.75,3437.45,No,0
6496-JDSSB,8,Yes,No,1,Month-to-month,80,624.6,No,0
9408-SSNVZ,4,No,No,0,Month-to-month,70.15,268.35,Yes,1
0742-MOABM,4,No,No,0,Month-to-month,50.05,179.35,Yes,1
2232-DMLXU,1,Yes,No,1,Month-to-month,55.2,55.2,Yes,1
4811-JBUVU,30,No,Yes,1,Month-to-month,89.9,2723.15,No,0
3316-UWXUY,50,No,Yes,1,Month-to-month,93.5,4747.5,No,0
8937-RDTHP,1,No,Yes,1,Month-to-month,84.6,84.6,Yes,1
1984-GPTEH,29,No internet service,No internet service,0,Month-to-month,25.15,702,No,0
1251-KRREG,2,No,No,0,Month-to-month,54.4,114.1,Yes,1
9903-LYSAB,18,No,No,0,Month-to-month,73.15,1305.95,No,0
0094-OIFMO,11,Yes,Yes,1,Month-to-month,95,1120.3,Yes,1
9058-HRZSV,65,No,Yes,1,Month-to-month,94.4,6126.15,No,0
4522-AKYLR,13,No,No,0,Month-to-month,54.8,731.3,No,0
0221-WMXNQ,4,No,No,0,Month-to-month,75.35,273.4,No,0
9947-OTFQU,15,No,No,0,Month-to-month,74.4,1074.3,Yes,1
0322-YINQP,1,No,No,0,Month-to-month,48.55,48.55,Yes,1
4629-NRXKX,2,No,No,0,Month-to-month,70.4,147.15,Yes,1
9514-JDSKI,1,Yes,No,1,Month-to-month,40.2,40.2,Yes,1
3675-YDUPJ,10,No internet service,No internet service,0,Month-to-month,19.85,193.05,No,0
4959-JOSRX,2,No,No,0,Month-to-month,44.6,80.55,Yes,1
5046-NUHWD,29,No,Yes,1,Month-to-month,45,1228.65,No,0
7273-TEFQD,3,No,Yes,1,Month-to-month,41.15,132.2,Yes,1
3606-TWKGI,13,Yes,Yes,1,Month-to-month,106.9,1364.3,Yes,1
7529-ZDFXI,57,No,Yes,1,Month-to-month,89.85,4925.35,No,0
3197-ARFOY,19,Yes,Yes,1,Month-to-month,105,2007.25,No,0
4385-GZQXV,16,Yes,Yes,1,Month-to-month,94.45,1511.2,Yes,1
6366-ZGQGL,1,No,No,0,Month-to-month,24.8,24.8,Yes,1
4716-HHKQH,20,Yes,Yes,1,Month-to-month,107.05,2172.05,No,0
5940-AHUHD,1,No,No,0,Month-to-month,70.6,70.6,Yes,1
6432-TWQLB,5,No,No,0,Month-to-month,85.4,401.1,Yes,1
4484-GLZOU,52,Yes,Yes,1,Month-to-month,105.05,5624.85,Yes,1
3179-GBRWV,21,No,Yes,1,Month-to-month,64.95,1339.8,No,0
8645-KWHJO,14,Yes,Yes,1,Month-to-month,55,771.95,No,0
4130-MZLCC,5,No,No,0,Month-to-month,50.55,244.75,No,0
0314-TKOSI,6,No,No,0,Month-to-month,55.15,322.9,No,0
8229-MYEJZ,10,No,No,0,Month-to-month,51.2,498.25,No,0
2080-SRCDE,1,No internet service,No internet service,0,Month-to-month,25.4,25.4,No,0
9577-WJVCQ,68,No,No,0,Month-to-month,54.45,3687.75,No,0
9512-UIBFX,18,Yes,Yes,1,Month-to-month,95.15,1779.95,Yes,1
3808-HFKDE,20,No,No,0,Month-to-month,44.35,927.15,No,0
5583-SXDAG,1,No,No,0,Month-to-month,70,70,Yes,1
3488-PGMQJ,8,No,No,0,Month-to-month,74.5,606.55,Yes,1
3580-REOAC,10,No,No,0,Month-to-month,44.85,435.4,Yes,1
7534-BFESC,24,No,No,0,Month-to-month,76.1,1712.7,Yes,1
4847-TAJYI,6,Yes,Yes,1,Month-to-month,89.35,567.8,No,0
1563-IWQEX,12,No internet service,No internet service,0,Month-to-month,19.7,220.35,No,0
8203-XJZRC,1,No internet service,No internet service,0,Month-to-month,20.25,20.25,No,0
6851-WEFYX,35,Yes,Yes,1,Month-to-month,100.8,3437.5,No,0
2985-JUUBZ,40,Yes,Yes,1,Month-to-month,74.55,3015.75,No,0
6390-DSAZX,1,No,No,0,Month-to-month,73.6,73.6,Yes,1
8098-LLAZX,4,Yes,Yes,1,Month-to-month,95.45,396.1,Yes,1
8266-VBFQL,4,No,Yes,1,Month-to-month,90.4,356.65,No,0
2240-HSJQD,38,No,No,0,Month-to-month,81.85,3141.7,No,0
0265-EDXBD,32,No,No,0,Month-to-month,74.9,2303.35,Yes,1
3167-SNQPL,38,Yes,Yes,1,Month-to-month,101.15,3741.85,No,0
1098-TDVUQ,1,No internet service,No internet service,0,Month-to-month,19.25,19.25,No,0
7277-OZCGZ,22,No,Yes,1,Month-to-month,89.05,1886.25,No,0
2799-ARNLO,5,No,No,0,Month-to-month,69.35,341.6,No,0
7563-BIUPC,5,Yes,No,1,Month-to-month,80.6,415.55,Yes,1
2840-XANRC,24,Yes,Yes,1,Month-to-month,93.15,2231.05,Yes,1
6745-JEFZB,35,Yes,No,1,Month-to-month,91.5,3236.35,No,0
8705-WZCYL,1,No,No,0,Month-to-month,44.8,44.8,No,0
4983-CLMLV,52,Yes,Yes,1,Month-to-month,102.7,5138.1,No,0
5701-YVSVF,11,Yes,No,1,Month-to-month,82.9,880.05,No,0
5804-LEPIM,2,No,No,0,Month-to-month,70.35,139.05,Yes,1
5697-GOMBF,28,Yes,No,1,Month-to-month,35.9,973.65,No,0
2739-CACDQ,17,No,No,0,Month-to-month,82.65,1470.05,No,0
0122-OAHPZ,7,No,No,0,Month-to-month,73.85,511.25,Yes,1
2868-SNELZ,2,No,No,0,Month-to-month,80.6,155.8,Yes,1
7982-VCELR,36,Yes,Yes,1,Month-to-month,94.8,3565.65,No,0
1343-EHPYB,63,Yes,Yes,1,Month-to-month,103.4,6603,Yes,1
6035-BXTTY,32,No,No,0,Month-to-month,54.65,1830.1,No,0
7520-HQWJU,66,No,No,0,Month-to-month,67.45,4508.65,No,0
0021-IKXGC,1,No,No,0,Month-to-month,72.1,72.1,No,0
2034-GDRCN,2,Yes,Yes,1,Month-to-month,90.4,168.2,Yes,1
6243-OZGFH,23,Yes,Yes,1,Month-to-month,44.95,996.85,No,0
4115-NZRKS,7,Yes,Yes,1,Month-to-month,89.15,574.35,No,0
0219-YTZUE,4,No,No,0,Month-to-month,84.8,371.9,Yes,1
0623-IIHUG,21,Yes,No,1,Month-to-month,41.9,840.1,Yes,1
4572-DVCGN,10,No,Yes,1,Month-to-month,80.25,846,Yes,1
3351-NGXYI,16,No,No,0,Month-to-month,54.1,889,No,0
9057-MSWCO,27,No,No,0,Month-to-month,30.75,805.1,Yes,1
9294-TDIPC,5,No internet service,No internet service,0,Month-to-month,20.2,83.75,No,0
3583-KRKMD,18,No,No,0,Month-to-month,75.9,1373.05,No,0
1010-DIAUQ,5,Yes,Yes,1,Month-to-month,96.5,492.55,Yes,1
9069-LGEUL,23,No,Yes,1,Month-to-month,59.95,1406,No,0
7302-ZHMHP,1,No internet service,No internet service,0,Month-to-month,19.15,19.15,No,0
0259-GBZSH,2,Yes,No,1,Month-to-month,85.65,181.5,Yes,1
6862-CQUMB,37,Yes,Yes,1,Month-to-month,96.1,3646.8,No,0
6158-HDPXZ,1,No,No,0,Month-to-month,25.35,25.35,No,0
9601-BRXPO,25,Yes,Yes,1,Month-to-month,104.95,2566.5,Yes,1
6905-NIQIN,1,No,No,0,Month-to-month,50.65,50.65,Yes,1
5167-ZFFMM,1,No,Yes,1,Month-to-month,90.85,90.85,Yes,1
4895-TMWIR,11,No internet service,No internet service,0,Month-to-month,19.95,214.75,Yes,1
0533-BNWKF,55,No,No,0,Month-to-month,85.45,4874.7,Yes,1
8782-LKFPK,44,No,Yes,1,Month-to-month,90.4,4063,No,0
5522-JBWMO,1,No,No,0,Month-to-month,44,44,No,0
3597-MVHJT,27,Yes,Yes,1,Month-to-month,95.6,2595.25,No,0
9774-NRNAU,27,Yes,Yes,1,Month-to-month,84.8,2309.55,No,0
0224-RLWWD,2,No,No,0,Month-to-month,44.3,89.3,No,0
9967-ATRFS,19,No internet service,No internet service,0,Month-to-month,19.9,367.55,No,0
3951-NJCVI,42,Yes,Yes,1,Month-to-month,95.05,3944.5,No,0
0177-PXBAT,33,Yes,Yes,1,Month-to-month,109.9,3694.7,No,0
6599-CEBNN,34,No,No,0,Month-to-month,73.95,2524.45,Yes,1
2519-ERQOJ,33,Yes,Yes,1,Month-to-month,54.6,1803.7,No,0
0979-PHULV,69,Yes,Yes,1,Month-to-month,99.45,7007.6,Yes,1
0111-KLBQG,32,Yes,Yes,1,Month-to-month,93.95,2861.45,No,0
4800-VHZKI,1,No internet service,No internet service,0,Month-to-month,19.9,19.9,Yes,1
7989-CHGTL,1,No internet service,No internet service,0,Month-to-month,19.6,19.6,Yes,1
0334-GDDSO,3,No,No,0,Month-to-month,81.35,233.7,Yes,1
5233-AOZUF,29,No,No,0,Month-to-month,74.95,2149.05,No,0
5973-EJGDP,51,No,No,0,Month-to-month,87.35,4473,No,0
1996-DBMUS,48,No,No,0,Month-to-month,70.65,3545.05,No,0
7916-VCCPB,16,No,No,0,Month-to-month,73.25,1195.75,No,0
0578-SKVMF,22,No,Yes,1,Month-to-month,83.3,1845.9,Yes,1
5564-NEMQO,1,No,No,0,Month-to-month,75.3,75.3,Yes,1
2233-FAGXV,5,No internet service,No internet service,0,Month-to-month,24.3,132.25,No,0
5605-IYGFG,7,No,No,0,Month-to-month,69.85,515.45,No,0
8111-BKVDS,10,No,No,0,Month-to-month,40.7,449.3,No,0
2055-SIFSS,55,No,No,0,Month-to-month,51.65,2838.55,No,0
8734-DKSTZ,10,No,Yes,1,Month-to-month,85.95,858.6,No,0
4360-PNRQB,18,No,No,0,Month-to-month,75.6,1395.05,No,0
9063-ZGTUY,61,No internet service,No internet service,0,Month-to-month,19.4,1182.55,Yes,1
2181-UAESM,2,No,No,0,Month-to-month,53.45,119.5,No,0
2957-LOLHO,12,No,No,0,Month-to-month,45.4,518.9,Yes,1
2320-SLKMB,26,Yes,No,1,Month-to-month,44.45,1183.8,No,0
5886-VLQVU,35,No,Yes,1,Month-to-month,89.85,3161.2,No,0
3577-AMVUX,1,No,No,0,Month-to-month,55.05,55.05,No,0
0771-WLCLA,16,Yes,Yes,1,Month-to-month,112.95,1882.55,No,0
5628-RKIFK,49,Yes,Yes,1,Month-to-month,101.55,5070.4,No,0
2937-FTHUR,18,No,Yes,1,Month-to-month,64.8,1166.7,No,0
1910-FMXJM,36,No,Yes,1,Month-to-month,80.4,2937.65,No,0
7752-XUSCI,60,Yes,Yes,1,Month-to-month,105.9,6396.45,Yes,1
4110-PFEUZ,1,No,No,0,Month-to-month,69.55,69.55,Yes,1
5168-MSWXT,8,Yes,Yes,1,Month-to-month,94.75,759.55,No,0
5760-WRAHC,22,No,Yes,1,Month-to-month,69.75,1545.4,No,0
8847-GEOOQ,60,Yes,Yes,1,Month-to-month,60.2,3582.4,No,0
0256-LTHVJ,28,No,Yes,1,Month-to-month,81.05,2227.1,Yes,1
8313-NDOIA,24,Yes,Yes,1,Month-to-month,104.15,2494.65,No,0
4237-CLSMM,2,No internet service,No internet service,0,Month-to-month,20,38,No,0
1452-VOQCH,1,No,No,0,Month-to-month,75.1,75.1,No,0
4719-UMSIY,6,No internet service,No internet service,0,Month-to-month,19.65,100.9,No,0
6614-VBEGU,24,Yes,Yes,1,Month-to-month,69.45,1614.05,No,0
0880-TKATG,4,Yes,Yes,1,Month-to-month,101.15,385.9,Yes,1
3811-VBYBZ,7,Yes,Yes,1,Month-to-month,99.8,673.25,Yes,1
4640-UHDOS,13,No,Yes,1,Month-to-month,55.95,734.35,Yes,1
3583-EKAPL,1,No,Yes,1,Month-to-month,55,55,Yes,1
1304-BCCFO,9,Yes,Yes,1,Month-to-month,70.05,564.4,No,0
4104-PVRPS,24,No,No,0,Month-to-month,53.6,1315.35,No,0
9399-APLBT,1,No,No,0,Month-to-month,74.7,74.7,Yes,1
2359-KMGLI,24,No,No,0,Month-to-month,80.25,1861.5,Yes,1
3780-DDGSE,35,Yes,Yes,1,Month-to-month,76.05,2747.2,No,0
4431-EDMIQ,7,Yes,No,1,Month-to-month,75.7,554.05,No,0
0306-JAELE,5,Yes,Yes,1,Month-to-month,96.1,453.4,Yes,1
6227-HWPWX,15,No,No,0,Month-to-month,69,994.8,Yes,1
0447-BEMNG,48,No,Yes,1,Month-to-month,45.3,2145,Yes,1
4612-SSVHJ,20,No,Yes,1,Month-to-month,81.45,1671.6,No,0
5949-XIKAE,8,Yes,No,1,Month-to-month,83.55,680.05,Yes,1
9094-AZPHK,15,Yes,Yes,1,Month-to-month,100.15,1415,No,0
8372-JUXUI,1,No,No,0,Month-to-month,74.35,74.35,Yes,1
6778-YSNIH,2,Yes,No,1,Month-to-month,59,114.15,No,0
0388-EOPEX,2,No,No,0,Month-to-month,74.4,139.4,Yes,1
6579-JPICP,1,No internet service,No internet service,0,Month-to-month,20.4,20.4,No,0
4134-BSXLX,28,No,No,0,Month-to-month,60.9,1785.65,No,0
6235-VDHOM,5,No,No,0,Month-to-month,28.45,131.05,Yes,1
7783-YKGDV,12,No,Yes,1,Month-to-month,99.7,1238.45,Yes,1
7803-XOCCZ,52,No,No,0,Month-to-month,84.05,4326.8,No,0
5609-CEBID,20,No,Yes,1,Month-to-month,94.1,1782.4,Yes,1
8981-FJGLA,11,No,No,0,Month-to-month,78,851.8,No,0
7218-HKQFK,2,Yes,Yes,1,Month-to-month,94.2,167.5,Yes,1
4636-QRJKY,6,No,No,0,Month-to-month,80.5,502.85,Yes,1
1135-LMECX,1,No internet service,No internet service,0,Month-to-month,19.85,19.85,No,0
8535-SFUTN,61,Yes,Yes,1,Month-to-month,106.45,6300.15,No,0
5956-VKDTT,5,No,No,0,Month-to-month,74.35,334.8,Yes,1
8677-HDZEE,56,Yes,Yes,1,Month-to-month,105.45,5916.95,No,0
2475-MROZF,30,No,No,0,Month-to-month,95,2852.4,No,0
9412-GHEEC,40,Yes,Yes,1,Month-to-month,104.8,4131.95,Yes,1
6705-LXORM,5,No,No,0,Month-to-month,70.05,302.6,No,0
0257-ZESQC,27,No,No,0,Month-to-month,75.2,1929.35,Yes,1
7531-GQHME,12,No internet service,No internet service,0,Month-to-month,20.05,265.45,No,0
4109-CYRBD,29,No,No,0,Month-to-month,51.6,1442,No,0
0913-XWSCN,55,No,Yes,1,Month-to-month,85.5,4713.4,No,0
6825-UYPFK,23,No,No,0,Month-to-month,75.6,1758.6,Yes,1
8397-MVTAZ,34,Yes,Yes,1,Month-to-month,100.05,3480,Yes,1
4234-XTNEA,2,Yes,No,1,Month-to-month,79.95,174.45,No,0
9282-IZGQK,1,No,Yes,1,Month-to-month,85,85,Yes,1
5348-CAGXB,12,Yes,No,1,Month-to-month,89.55,1021.75,No,0
0621-HJWXJ,63,No,No,0,Month-to-month,81.55,5029.05,No,0
2782-LFZVW,11,No,Yes,1,Month-to-month,58.95,601.6,No,0
2866-IKBTM,1,No internet service,No internet service,0,Month-to-month,19.55,19.55,No,0
1342-JPNKI,10,Yes,No,1,Month-to-month,86.05,834.1,Yes,1
2817-NTQDO,13,Yes,No,1,Month-to-month,45.55,597,Yes,1
6986-IJDHX,39,Yes,No,1,Month-to-month,86.3,3266,Yes,1
8138-EALND,15,No internet service,No internet service,0,Month-to-month,19.75,311.6,No,0
5301-GAUUY,32,No,No,0,Month-to-month,80.35,2596.15,Yes,1
2654-VBVPB,1,No internet service,No internet service,0,Month-to-month,19.9,19.9,No,0
2501-XWWTZ,11,No,No,0,Month-to-month,70.2,760.05,No,0
3716-UVSPD,1,No,No,0,Month-to-month,49.3,49.3,No,0
7343-EOBEU,3,No internet service,No internet service,0,Month-to-month,23.6,89.05,No,0
3701-SFMUH,7,Yes,Yes,1,Month-to-month,69.7,516.15,No,0
7319-VENRZ,7,Yes,No,1,Month-to-month,64.3,445.95,No,0
0939-YAPAF,35,Yes,Yes,1,Month-to-month,100.25,3527.6,Yes,1
6030-REHUX,28,Yes,Yes,1,Month-to-month,110.85,3204.4,No,0
8270-RKSAP,9,No,No,0,Month-to-month,70.5,597.9,No,0
6522-YRBXD,35,No,Yes,1,Month-to-month,94.55,3365.4,No,0
2640-LYMOV,2,No internet service,No internet service,0,Month-to-month,19.65,38.8,No,0
1218-VKFPE,12,No internet service,No internet service,0,Month-to-month,19,233.55,Yes,1
3627-FHKBK,1,No,No,0,Month-to-month,75.3,75.3,Yes,1
2865-TCHJW,4,Yes,No,1,Month-to-month,89.2,346.2,Yes,1
1423-BMPBQ,1,No internet service,No internet service,0,Month-to-month,19,19,No,0
2393-DIVAI,3,No internet service,No internet service,0,Month-to-month,20,61.7,No,0
5192-EBGOV,1,Yes,No,1,Month-to-month,85.7,85.7,Yes,1
0215-BQKGS,30,No,No,0,Month-to-month,84.3,2438.6,No,0
9244-ZVAPM,1,No,No,0,Month-to-month,45.6,45.6,No,0
0719-SYFRB,12,No,No,0,Month-to-month,61.65,713.75,Yes,1
5172-MIGPM,4,No,Yes,1,Month-to-month,65.55,237.2,No,0
5839-SUYVZ,16,No,No,0,Month-to-month,74.55,1170.5,No,0
3419-SNJJD,65,Yes,Yes,1,Month-to-month,105.25,6786.4,Yes,1
6543-CPZMK,9,No,No,0,Month-to-month,29.95,248.95,Yes,1
4765-OXPPD,9,No,No,0,Month-to-month,65,663.05,Yes,1
9396-ZSFLL,15,No,No,0,Month-to-month,48.85,631.4,No,0
6464-KEXXH,8,No,No,0,Month-to-month,25.25,186.3,No,0
5240-CAOYT,57,No,No,0,Month-to-month,87.55,4884.85,No,0
4059-IIEBK,7,No,No,0,Month-to-month,78.55,522.95,No,0
4881-JVQOD,10,No,Yes,1,Month-to-month,34.55,362.6,No,0
1009-IRMNA,7,No internet service,No internet service,0,Month-to-month,20,137.6,Yes,1
3003-CMDUU,25,Yes,Yes,1,Month-to-month,95.15,2395.7,No,0
5016-IBERQ,23,No,No,0,Month-to-month,84.25,1968.1,No,0
4554-YGZIH,49,No,Yes,1,Month-to-month,90.05,4547.25,Yes,1
5099-BAILX,43,Yes,Yes,1,Month-to-month,110.75,4687.9,Yes,1
9931-KGHOA,46,No,No,0,Month-to-month,55,2473.95,No,0
7207-RMRDB,65,Yes,Yes,1,Month-to-month,105.5,6985.65,Yes,1
0195-IESCP,10,No,Yes,1,Month-to-month,85.25,855.3,Yes,1
4580-TMHJU,43,Yes,No,1,Month-to-month,56.15,2499.3,Yes,1
0970-ETWGE,1,Yes,Yes,1,Month-to-month,89.55,89.55,Yes,1
8404-VLQFB,15,No internet service,No internet service,0,Month-to-month,25.25,394.85,No,0
